[08-Apr-2020 00:57:25 UTC] PHP Notice:  Undefined index: sessionExpired in /var/www/html/index.php on line 52
[08-Apr-2020 00:59:37 UTC] PHP Notice:  Undefined index: sessionExpired in /var/www/html/index.php on line 52
[08-Apr-2020 01:04:38 UTC] PHP Notice:  Undefined index: sessionExpired in /var/www/html/index.php on line 52
[08-Apr-2020 01:04:45 UTC] PHP Notice:  Undefined index: sessionExpired in /var/www/html/index.php on line 52
[08-Apr-2020 01:08:03 UTC] PHP Notice:  Undefined index: sessionExpired in /var/www/html/index.php on line 52
[08-Apr-2020 01:09:12 UTC] PHP Notice:  Undefined index: sessionExpired in /var/www/html/index.php on line 52
[18-Apr-2020 21:57:28 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[18-Apr-2020 21:57:28 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[18-Apr-2020 21:57:28 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[18-Apr-2020 22:30:07 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[18-Apr-2020 22:30:07 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[18-Apr-2020 22:30:07 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[18-Apr-2020 23:32:32 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[18-Apr-2020 23:32:32 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[18-Apr-2020 23:32:32 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 00:08:21 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 00:08:21 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 00:08:21 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 00:27:41 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 00:27:41 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 00:27:41 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 00:27:43 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 00:27:43 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 00:27:43 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 00:30:04 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 00:30:04 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 00:30:04 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 00:30:06 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 00:30:06 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 00:30:06 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 00:32:57 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 00:32:57 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 00:32:57 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 00:43:01 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 00:43:01 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 00:43:01 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 00:57:55 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 00:57:55 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 00:57:55 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 00:58:03 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 00:58:03 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 00:58:03 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 01:05:54 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 01:05:54 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 01:05:54 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 01:05:54 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 01:05:54 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 01:05:54 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 01:05:55 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 01:05:55 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 01:05:55 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 01:05:55 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2002): No such file or directory in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 01:05:55 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 01:05:55 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
